stid,number,name,lat [degrees],lon [degrees],elevation [m],county,nearest_city,state,distance_from_town [km],direction_from_town [degrees],climate_division,climate_division_name,wfo,commissioned,decommissioned
FLUX_BELL,3030,Belleville,43.78962,-76.11373,144.78,Jefferson,Belleville,NY,0.8,NE,9,Great Lakes,BUF,2017-05-15 23:30:00 UTC,
FLUX_BKLN,3033,Brooklyn,40.631762,-73.953678,,Kings,Brooklyn,NY,5.2,ESE,4,Coastal,OKX,2017-07-19 19:10:00 UTC,
FLUX_BURT,3119,Burt,43.31699,-78.74903,96.012,Niagara,Burt,NY,2.9,W,9,Great Lakes,BUF,2017-03-10 20:31:00 UTC,
FLUX_CHAZ,3029,Chazy,44.89565,-73.46461,56.571,Clinton,Chazy,NY,2.4,WNW,7,Champlain Valley,BTV,2017-03-17 17:15:00 UTC,
FLUX_FRED,3056,Fredonia,42.41817,-79.3666,238.75,Chautauqua,Fredonia,NY,3.7,SW,9,Great Lakes,BUF,2017-07-01 12:19:00 UTC,
FLUX_ONTA,3037,Ontario,43.25941,-77.37331,99.8525,Wayne,Ontario,NY,8.4,WNW,9,Great Lakes,BUF,2017-03-09 00:31:00 UTC,
FLUX_OWEG,3052,Owego,42.02571,-76.25543,447.873,Tioga,Owego,NY,8.5,S,2,Eastern Plateau,BGM,2017-04-05 21:00:00 UTC,
FLUX_PENN,3077,Penn Yan,42.65578,-76.98746,250.668,Yates,Penn Yan,NY,5.5,E,10,Central Lakes,BGM,2017-05-23 19:00:00 UTC,
FLUX_QUEE,3034,Queens,40.734335,-73.815856,,Queens,Queens,NY,1.9,WNW,4,Coastal,OKX,2017-04-18 20:50:00 UTC,
FLUX_REDF,3120,Redfield,43.62218,-75.87769,380.39,Oswego,Redfield,NY,10.9,NNW,9,Great Lakes,BUF,2017-03-06 20:55:00 UTC,
FLUX_REDH,3025,Red Hook,42.00168,-73.88391,64.8005,Dutchess,Red Hook,NY,1,NW,5,Hudson Valley,ALY,2017-03-06 22:32:00 UTC,
FLUX_SCHU,3009,Schuylerville,43.116996,-73.578284,31.4462,Saratoga,Schuylerville,NY,1.9,N,5,Hudson Valley,ALY,2017-02-28 00:01:00 UTC,
FLUX_SOUT,3035,Southold,41.040081,-72.465864,8.93064,Suffolk,Southold,NY,4.3,SW,4,Coastal,OKX,2017-05-10 21:09:00 UTC,
FLUX_STAT,3020,Staten Island,40.604014,-74.148499,,Richmond,Staten Island,NY,5.3,N,4,Coastal,OKX,2017-05-03 21:30:00 UTC,
FLUX_VOOR,3003,Voorheesville,42.65242,-73.97562,115.062,Albany,Voorheesville,NY,3.8,W,5,Hudson Valley,ALY,2017-02-03 18:00:00 UTC,
FLUX_WARS,3072,Warsaw,42.77993,-78.20889,540.715,Wyoming,Warsaw,NY,7.6,NW,10,Central Lakes,BUF,2017-06-30 00:01:00 UTC,
FLUX_WHIT,3010,Whitehall,43.485073,-73.423071,36.5638,Washington,Whitehall,NY,8,S,7,Champlain Valley,ALY,2017-02-28 00:01:00 UTC,
